scheme_name,cagr_3y,sharpe_ratio,alpha_annual_pct,expense_ratio_pct,max_drawdown_pct,score_100
HDFC Top 100 Fund - Regular Plan - Growth,1.0306975687293773,-0.18765046878624,3.747580763443281,1.55,-24.7344408806733,100.0
Axis Bluechip Fund - Regular - Growth,1.2286032984341722,0.04524532299034367,6.899529821677549,1.64,-14.401617909337267,99.77341389728096
UTI Mid Cap Fund - Regular - Growth,-0.9514413663362364,-0.1947073805832031,2.8969397866379443,1.51,-28.00112356639287,98.56495468277944
HDFC Short Term Debt Fund - Regular - Growth,3.9024959738822806,-0.5154378235861931,4.281792031506088,0.56,-4.308263824636346,95.16616314199395
ABSL Liquid Fund - Regular - Growth,6.315130287745907,-0.41722938246152713,6.086145795787115,0.79,-0.16224980244717319,93.95770392749245
Axis Small Cap Fund - Regular - Growth,-10.9394027509082,-0.0679256784693741,4.801595363775955,1.38,-51.67775370852657,92.59818731117824
Nippon India Gilt Securities Fund - Regular - Growth,3.8283619012395853,-0.30601321923949243,5.074772999976104,0.55,-8.316361763638701,91.6918429003021
SBI Magnum Gilt Fund - Regular Plan - Growth,5.913772991980504,-0.17572336328229415,5.620895216638369,0.77,-4.328728923970098,90.93655589123868
ABSL Small Cap Fund - Regular - Growth,-4.693651885181193,0.17048069518831582,10.897091901704538,1.53,-35.44691649336603,87.38670694864048
Kotak Emerging Equity Fund - Regular - Growth,6.902588140180677,0.08727318479040212,7.80443887615508,1.56,-24.003511326274882,84.59214501510573
SBI Small Cap Fund - Direct Plan - Growth,-1.1676548884575366,-0.049101169454301964,4.882421594553985,0.72,-52.574221170128496,83.91238670694862
Kotak Liquid Fund - Regular - Growth,6.702552074475521,0.304256329135543,6.45567903142542,0.6,-0.11629328267211249,80.81570996978851
Kotak Bluechip Fund - Regular - Growth,17.203488748597163,0.5092559163430059,13.042924450705446,1.59,-17.573614164687285,74.16918429003022
DSP Top 100 Equity Fund - Regular - Growth,17.963796293180543,0.4780917280523983,13.173190226099432,1.54,-14.844576917771747,72.88519637462235
Nippon India Small Cap Fund - Regular - Growth,7.248002533762121,0.4564261243061777,17.50072167561127,1.53,-23.34488614483311,71.52567975830814
