scheme_name,alpha_annual_pct,beta,r_squared
ABSL Frontline Equity Fund - Regular - Growth,21.399784776051213,0.02108631625012803,0.0003480482030714251
ABSL Liquid Fund - Regular - Growth,6.086145795787115,0.00026670968338238433,4.6076236771052326e-05
ABSL Small Cap Fund - Regular - Growth,10.897091901704538,-0.06528924788351524,0.0010641052735572622
Axis Bluechip Fund - Direct - Growth,8.232801295222094,0.02588321244009315,0.0005692038090244872
Axis Bluechip Fund - Regular - Growth,6.899529821677549,0.009730745001153637,8.082637693810774e-05
Axis Midcap Fund - Regular - Growth,26.07666908004223,-0.06626542862803757,0.001936878936960232
Axis Small Cap Fund - Regular - Growth,4.801595363775955,-0.066951174639292,0.0011851593464486715
DSP Midcap Fund - Regular - Growth,26.598577542043046,-0.002523004664699247,3.357978192008859e-06
DSP Small Cap Fund - Regular - Growth,30.05787817097677,0.011455159960520708,3.5329906267955625e-05
DSP Top 100 Equity Fund - Regular - Growth,13.173190226099432,-0.004050271130006534,1.322760788085046e-05
HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.98910097121797,0.009054412621739154,4.043746553634244e-05
HDFC Mid-Cap Opportunities Fund - Regular - Growth,27.19535450128533,0.0051035258305283104,1.2066520635068168e-05
HDFC Short Term Debt Fund - Regular - Growth,4.281792031506088,0.0011582183155281463,1.4612842041845034e-05
HDFC Top 100 Fund - Direct Plan - Growth,17.729756732847978,0.0488204226427868,0.0018401805967700803
HDFC Top 100 Fund - Regular Plan - Growth,3.747580763443281,-0.0582684314388089,0.002665032698133324
ICICI Pru Bluechip Fund - Direct - Growth,21.19482701352573,0.016232169761417007,0.00021216129075887457
ICICI Pru Bluechip Fund - Regular - Growth,17.703302365844074,-0.0402689523698206,0.001397444608331861
ICICI Pru Liquid Fund - Regular - Growth,6.746210411099539,-0.0004440926329707234,0.00013430661440679868
ICICI Pru Midcap Fund - Regular - Growth,29.26358334175106,0.000549004250631712,1.3455341675668847e-07
ICICI Pru Value Discovery Fund - Regular - Growth,16.25385327998104,0.04189646272811977,0.0012571178108220743
Kotak Bluechip Fund - Regular - Growth,13.042924450705446,0.036356399022199795,0.0012113711061211869
Kotak Emerging Equity Fund - Regular - Growth,7.80443887615508,0.01805687420811816,0.0001691554883831436
Kotak Flexicap Fund - Regular - Growth,27.330465038306055,-0.02282956979242654,0.00034305434271514465
Kotak Liquid Fund - Regular - Growth,6.45567903142542,-0.00040074666213387513,0.00010125659815483347
Mirae Asset Emerging Bluechip Fund - Regular - Growth,20.873010086942337,-0.026387719943843004,0.0004859264752797316
Mirae Asset Large Cap Fund - Regular - Growth,26.98375144191807,0.023683558075848623,0.0004625436906623847
Mirae Asset Tax Saver Fund - Regular - Growth,28.27036785246582,0.018133884083859245,0.00017488886568129566
Nippon India ETF Nifty 50 BeES,15.136354648239239,-0.001433521389780133,2.0253408972328425e-06
Nippon India Gilt Securities Fund - Regular - Growth,5.074772999976104,0.0012566742731558458,1.651665231033275e-05
Nippon India Large Cap Fund - Direct - Growth,15.643835948169668,-0.03663900671860934,0.0011382947171084282
Nippon India Large Cap Fund - Regular - Growth,21.829397904608644,-0.008353832126962021,5.7917562701278335e-05
Nippon India Small Cap Fund - Regular - Growth,17.50072167561127,0.1034966369133759,0.0027930065610663243
SBI Bluechip Fund - Direct Plan - Growth,19.86859936686296,-0.026159307513513405,0.0005850821704543426
SBI Bluechip Fund - Regular Plan - Growth,23.201007160635083,-0.03175144113890972,0.0008869788879322809
SBI Magnum Gilt Fund - Regular Plan - Growth,5.620895216638369,-0.006413850728276477,0.00043426033217200524
SBI Small Cap Fund - Direct Plan - Growth,4.882421594553985,0.06200180438267168,0.0010259205326765965
SBI Small Cap Fund - Regular Plan - Growth,30.336965386983323,-0.023196062044059693,0.0001414257550272171
UTI Flexi Cap Fund - Regular - Growth,16.211256794033254,0.016682689437770827,0.00018619166432850165
UTI Mid Cap Fund - Regular - Growth,2.8969397866379443,-0.04212502902189432,0.0008964294600687582
UTI Nifty 50 Index Fund - Regular - Growth,17.048756803412697,-0.019486785689474526,0.00038285030730923834
